tidak_baku,bentuk_baku
kekaras,karas
kekeh,keukeuh
kekudung,kerudung
kelabet,kelabat
kelak,kelah
kelamai,gelamai
kelamarin,kemarin
kelandera,kelendara
kelang,kilang
kelebet,kelebek
kelemantang,kalimantang
kelemarin,kemarin
kelembai,kelambai
kelembubu,halimbubu
kelembung,gelembung
kelemumur,kelemur
kelemunting,kemunting
kelengking,kelengkeng
kelentang,kelantang
kelep,klep
keletar,geletar
keleti,keliti
keletik,geletik
kelicih,kelicik
kelicik,gelicik
kelidai,kenidai
kelikah,khalikah
kelikih,keliki
kelimantang,kalimantang
kelimis,klimis
kelincir,gelincir
kelisah,gelisah
keloceh,celoteh
kelubung,selubung
keluruk,keruyuk
keluwek,keluak
kemak-kemik,kemik
kemalai,gemulai
kemanakan,kemenakan
kemandang,kumandang
kemaren,kemarin
kemben,kemban
kemil,camil
kemilau,kilau
keminting,kemiri
kemong,kemung
kempas,kempis
kempes,kempis
kemucing,kemoceng
kemuncak,puncak
kemundir,kemendur
kenalpot,knalpot
kenampakan,ketampakan
kenantan,kinantan
kendak,gendak
kendor,kendur
kengkang,kangkang
kenor,kenur
kentong,kentung
kenung,kenong
kenyap,kenyam
kenyih,kenyi
kepai,kapai
kepak,kapai
kepang,kipang
keparat,kafarat
kepau,kepar
kepek,kempek
kepik,kepek
kepok,kepoh
kepudang,kepodang
kepuyuh,puyuh
keraeng,karaeng
kerangga,kerengga
kerangkang,kelangkang
keratau,kertau
kerbat,kebat
kerdip,kedip
kerdum,kerdam
kerdus,kardus
kerdut,kedut
kerekah,kerkah
kerekut,kerekot
keremi,kerawit
kerempagi,kerampagi
keremunting,kemunting
keremut,keremot
kerencing,kerenting
kerenggamunggu,kardamunggu
kerengkiang,rengkiang
kerenyau,kernyau
kerenyit,kernyit
kerenyut,kernyut
kerepai,kerpai
kerepak,kerpak
kerepas,kerpas
kerepek,keripik
kerepot,keriput
keresek,kerisik
keretot,kerekot
keretut,kerekot
keriat-keriut,keriang-keriut
kerimuk,kerumuk
keringsing,geringsing
kerinyut,kernyut
keritik,kritik
kerkap,kerkah
kerkeling,kerakeling
kermunting,kemunting
kerodong,kerudung
keroh,keruh
keronco,keroncor
keroncot,kerucut
kerongsong,kelongsong
keronsang,kerongsang
keropong,keropok
kerosang,kerongsang
kerosek,kerosak
kersip,kedip
kerubian,kerubin
keruit,kerawit
kesmaran,kasmaran
kesuma,kusuma
ketah,kutaha
ketapel,katapel
ketermampatan,keterpampatan
ketik,tik
ketimbung,kecimpung
ketimus,timus
keton,ketun
ketonggeng,ketungging
ketrampilan,keterampilan
ketrok,ketuk
ketual,katwal
keweni,kuweni
khabar,kabar
kharisma,karisma
khasanah,khazanah
khatan,khitan
khaul,haul
khojah,khoja
kholik,khalik
khudu,khuduk
khulak,khuluk
khusuk,khusyuk
khutbah,khotbah
ki,air
kibernetika,sibernetika
kibik,kubik
kicuh,kecoh
kidab,kizib
kidamat,khidmat
kidang,kijang
kifarat,kafarat
kijip,kejap
kiju,keju
kik,akik
kila,kilah
kimar,himar
kimpa,kimpal
kin,ken
kinang,ginang-ginang
kingka,kimkha
kingkip,kingking
kintal,kuintal
kintar,kitar
kinyam,kenyam
kiong,keong
kip,kep
kipal,kimpal
kipar,kepar
kiparat,kafarat
kiraah,qiraah
kiraat,qiraah
kirabat,kerabat
kiryah,karyah
kiryat,karyah
kismet,kismat
kiting,keteng
kiuk,keok
kiut,kicut
klab,klub
klabet,kelabat
klas,kelas
klen,klan
klengkeng,lengkeng
klenteng,kelenteng
klobot,kelobot
klon,klona
klor,klorin
kluwak,keluak
kobak,kubak
koboy,koboi
kohlea,koklea
koja,khoja
kojah,khoja
kokain,kokaina
kolah,kulah
kolang-kalik,kolang-kaling
kolbu,kalbu
kolektifitas,kolektivitas
kolembeng,kolomben
kolin,kolina
koliseng,ginseng
kolok,kuluk
kolomnis,kolumnis
koma,kurkuma
komariah,kamariah
komersil,komersial
komkoma,kurkuma
komoditi,komoditas
kompa,pompa
komplek,kompleks
kompleksifitas,kompleksitas
komplit,komplet
komulatif,kumulatif
konci,kunci
kondite,konduite
konduktifitas,konduktivitas
konektifitas,konektivitas
konfrontir,konfrontasi
konggres,kongres
kongkol,sekongkol
kongkow,kongko
kongkret,konkret
kongkrit,konkret
kongkurs,konkurs
konkrit,konkret
konperensi,konferensi
konsentrik,konsentris
konsinyering,konsinyasi
konsleting,korsleting
konsortium,konsorsium
konstan,konstanta
kontinyu,kontinu
koordinir,koordinasi
kopak,kopok
kopeling,kopling
koperatif,kooperatif
koperativisme,kooperativisme
kopor,koper
korden,gorden
kores,gores
korma,kurma
koropak,keropak
korsi,kursi
kortison,hidrokortison
korum,kuorum
kosa,kusa
kosa kata,kosakata
kosambi,kesambi
koset,keset
kotbah,khotbah
koterek,kotrek
kowak,kuak
koyo,koyok
krah,kerah
krakal,kerakal
krama,kromo
kramat,keramat
kran,keran
kratifitas,kreativitas
kraton,keraton
kreatifitas,kreativitas
kreatin,kreatina
kreatinin,kreatinina
krebo,kribo
kreditor,kreditur
krem,krim
krematori,krematorium
kremian,keremian
kreseh-peseh,kareseh-peseh
kretek,keretek
kretifitas,kreativitas
kriminil,kriminal
kriptozologi,kriptozoologi
kriterium,kriteria
kriwil,keriwil
krokot,kerokot
kroniometri,kraniometri
kropak,keropak
krucil,kerucil
krupuk,kerupuk
ksatria,kesatria
kua,koa
kuartir,kwartir
kuarza,kuarsa
kuatir,khawatir
